date,AAASPR,BAASPR,CAPUTIL,COMMCRB,CONSGOVT,CONSPRIV,CONSSENT,CPAPERSPR,DEBTGOVT,DISPINC,DIVYIELD,EARNINGS,ECONSENT,EMPL,EXCHTRW,EXPORT,FEDFUNDS,GDP,HOURS,HOUSEPERMIT,HOUSEPRICE,HOUSESTART,IMPORT,INDPRO,INVENTO,INVESTM,LIABCORP,LIABHH,LOANSCORP,LOANSHH,NWCORP,NWHH,ORDERNEW,ORDERUNFIL,PCEPRICE,PMI,RETAIL,SHORTSPR,STOCKPRICE,STOCKVOL,TERMSPR,ULC,UNRATE,VXO
01oct2009,1.7399998,2.8667002,69.499397,.11761016,.18493174,-.14843041,50.96666666666667,.15000001,1.5721436,-.024641771,-.35649991,.14368862,14.86666666666667,-.38572282,-3.3545477,5.7362347,-.036700003,1.0923953,.020031961,2.7101862,-1.3734325,-3.5759218,4.737628,1.5572947,-.25975788,8.843524,.12706773,-.65435922,-6.4879041,-1.7356501,.53139508,-.019046498,2.0881135,-4.1481595,.26775351,56.26666666666666,.62289631,-.063299999,8.8292751,.014086008,3.4033,-.77924544,.30000019,21.155001
01jan2010,1.5766001,2.5699997,71.287003,-.036087882,-.38625151,.49323326,51.73333333333333,.1,2.6032028,.56063306,-.13570011,.31150615,13.66666666666667,-.13370433,2.7366641,1.4903337,.013300009,.3840408,-.029522607,5.3616858,-1.4906449,8.4954033,2.3867223,1.9471486,.23034175,2.2499003,.69598293,-1.2347658,-5.3535304,-.29185086,-1.9328178,1.3849053,10.699348,-1.4105446,-.33200982,56.86666666666667,1.4890031,-.026600003,2.9765971,-.0081897005,3.6100001,-1.1353683,-.10000038,18.4932
01apr2010,1.5533001,2.6867001,73.1782,.0087788915,.34116986,.79222995,58.23333333333333,.25,1.6817245,1.6341594,-.028499961,.25210336,17.7,.48953342,3.6641421,2.3379397,.059999987,.91780883,.87854421,-9.2324266,-1.1274945,-2.6231012,4.5301409,1.9448954,.46188399,5.1149478,-1.6529256,-.6551587,-2.3744011,31.122921,6.7286625,-1.1268026,3.5216722,.72571039,-.067118585,57.33333333333334,1.6875077,-.046599999,1.209671,.27002549,3.3433001,.81199867,-.19999981,27.078699
01jul2010,1.7932999,2.99,74.570297,.12871467,-.68335986,.69689977,50.93333333333334,.14,1.4839706,.70940304,.089100122,.32085735,5.266666666666667,-.019418942,-2.2845159,2.7319796,-.0065999925,.73450363,.54818171,-4.3744583,.80877876,-3.7804184,3.601028,1.2976873,1.9939579,4.3630977,2.4692574,-.57176203,-1.016328,-1.7509428,-.67484015,3.058713,3.6924555,1.0624959,-.088494442,55.93333333333334,.4880982,-.030000001,-3.4830015,-.25708926,2.6300001,-.13609216,-.16660023,22.427
01oct2010,1.9933999,3.05,75.095001,.16061555,-.62634701,.65920007,57.03333333333333,.12,2.0922012,.55912906,-.15160012,.3714267,11.6,.25373003,-3.9325087,2.8596072,0,.5006485,.42934796,1.6129347,-1.0014465,-6.657248,.80655015,.33134913,.97568411,-.31907508,.87173277,-.16776989,-.22543463,-2.0824413,-14.734001,2.3624458,.27482861,1.8693217,.13858077,56.93333333333333,2.7173066,-.049999997,9.3629379,-.019195413,2.7266002,.19524728,.0333004,17.7911
01jan2011,1.6700001,2.6300001,75.604599,.066489413,-1.2267087,.42444843,66.86666666666667,.12,1.3313065,1.013851,-.0977,.06320677,27.26666666666667,.25181836,-1.4923605,.84559876,-.030000001,-.24073137,.16647777,-2.8399439,-3.2619059,7.1162205,.64708942,.55964124,.5282169,-1.903185,1.1710491,-.73916531,.59527868,-3.8500004,.83892536,1.1234716,3.6799021,1.4006242,.20072451,58.9,2.2656252,-.030000001,7.8822913,.095861033,3.3333001,2.4969883,-.4666996,16.9732
01apr2011,1.8266997,2.6399999,75.799896,-.062209748,-.67648602,.221178,61.76666666666667,.14,-.79638672,-.21792147,.042299986,-.13536133,6.2,.52376521,-3.3131609,1.6076628,-.0634,.71242821,.83336139,7.5828199,-2.3531241,-1.3833075,.59123129,.40066719,1.0913149,4.0097051,-.12262698,-.9284206,1.4655256,-.20789172,1.8005378,.17496893,-.70033687,1.3244649,.10951447,56.16666666666666,1.6679265,-.046599999,1.2429469,-.064773776,3.1633,-.85263127,.033399582,17.1499
01jul2011,2.0366001,3.0366001,76.402496,-.10119873,-1.4352069,.39080217,50.26666666666667,.18000001,2.3006287,.43563518,.21139991,-.069479294,-7.666666666666667,.31016466,.33156362,1.054412,-.0099999979,-.027779412,.38347724,2.3162866,.26102287,7.5433683,1.1336398,1.1624101,-.18491164,.3303107,-2.1079466,-.86975056,2.2027454,-.16817261,.6426214,-3.2142911,2.9688361,1.4457264,-.10197477,53.06666666666666,.88685334,-.060000002,-7.1411724,.14350419,2.4034002,1.1093297,-.066699982,33.250198
01oct2011,1.8800001,3.2066002,76.766197,-.014774868,-.07043469,.18257186,53.63333333333333,.2,1.5098801,.31052005,.087900162,.040169392,4.166666666666667,.42127576,3.6746392,1.0263852,-.010000005,1.1526182,.76358318,9.9271698,.069917127,8.1118622,1.3689494,.98716694,1.2673118,7.4247355,2.8414514,-.29527342,2.2291493,-.0572365,-.85154223,1.7784852,2.9431307,1.9958957,-.11116556,52.06666666666666,1.6240613,-.059999995,-.2015983,-.26108494,2.0334001,-1.9857719,-.36670017,27.2218
01jan2012,1.8599999,3.1632998,77.061699,.017501375,-.43159622,.79976064,67.53333333333333,.16,1.0511322,1.8546224,-.11440015,-.41709563,8.866666666666667,.59266222,.73626846,.61896807,.030000001,.77994043,.82010615,8.4114256,-1.7174908,5.1739788,.54221892,.94855106,1.1945305,2.0671966,2.7036839,-.96989524,2.8927796,-.25904664,-.68829232,2.4014704,2.1580923,3.042836,.28524953,53.06666666666666,2.0298898,-.036600001,9.4729986,-.098481014,1.97,1.9585156,-.36660004,16.313801
